report_year,division,count
2014,D11,22
2014,D11,1
2014,D11,1
2014,D11,1
2014,D11,23
2014,D11,1
2014,D11,13
2014,D11,2
2014,D11,7
2014,D11,1
2014,D11,1
2014,D11,8
2014,D12,4
2014,D11,14
2014,D12,39
2014,D11,2
2014,D11,1
2014,D11,5
2014,D12,21
2014,D11,4
2014,D12,9
2014,D11,20
2014,D11,1
2014,D11,7
2014,D12,42
2014,D11,1
2014,D12,20
2014,D11,20
2014,D11,1
2014,D11,13
2014,D12,6
2014,D11,372
2014,D12,7
2014,D11,11
2014,D11,1
2014,D11,6
2014,D11,147
2014,D12,27
2014,D12,67
2014,D12,27
2014,D11,1
2014,D11,56
2014,D11,3
2014,D11,1
2014,D11,166
2014,D12,19
2014,D12,17
2014,D12,17
2014,D11,9
2014,D11,37
2014,D11,4
2014,D11,10
2014,D12,84
2014,D11,252
2014,D12,47
2014,D12,15
2014,D11,14
2014,D11,200
2014,D12,7
2014,D12,14
2014,D11,1
2014,D11,43
2014,D11,6
2014,D12,55
2014,D12,24
2014,D11,1
2014,D11,46
2014,D12,5
2014,D11,24
2014,D11,39
2014,D11,4
2014,D12,7
2014,D12,112
2014,D11,1
2014,D11,57
2014,D12,14
2014,D11,8
2014,D11,55
2014,D11,30
2014,D12,8
2014,D12,41
2014,D11,3
2014,D11,102
2014,D12,26
2014,D11,20
2014,D11,9
2014,D11,7
2014,D12,5
2014,D12,153
2014,D11,5
2014,D11,18
2014,D12,11
2014,D11,1
2014,D11,106
2014,D11,8
2014,D12,1
2014,D12,30
2014,D12,45
2014,D11,2
2014,D12,3
2014,D11,186
2014,D11,3
2014,D12,34
2014,D11,15
2014,D12,9
2014,D11,8
2014,D12,1
2014,D11,11
2014,D11,7
2014,D12,2
2014,D11,4
2014,D11,144
2014,D12,71
2014,D11,1
2014,D11,3
2014,D12,4
2014,D11,8
2014,D12,12
2014,D11,1
2014,D11,45
2014,D12,14
2014,D11,37
2014,D11,9
2014,D12,1
2014,D11,19
2014,D12,2
2014,D11,21
2014,D11,1
2014,D12,39
2014,D11,19
2014,D11,87
2014,D12,28
2014,D11,16
2014,D12,10
2014,D11,9
2014,D11,51
2014,D12,17
2014,D11,37
2014,D11,32
2014,D12,30
2014,D11,15
2014,D12,10
2014,D11,3
2014,D11,4
2014,D11,1
2014,D11,6
2014,D11,9
2014,D11,12
2014,D11,8
2014,D11,16
2014,D11,2
2014,D11,3
2014,D11,4
2014,D11,1
2014,D11,15
2014,D11,5
2014,D11,2
2014,D11,10
2014,D11,3
2014,D11,1
2014,D11,5
2014,D11,27
2014,D11,7
2014,D11,7
2014,D11,4
2014,D11,3
