X_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_,COUNT_CLEARED
1,2014,D11,Crimes Against the Person,Other,22,9
2,2014,D11,Crimes Against Property,Theft Over $5000,1,1
3,2014,D11,Crimes Against the Person,Other,1,1
4,2014,D11,Crimes Against the Person,Robbery-Financial,1,1
5,2014,D11,Crimes Against Property,Break & Enter-House,23,13
6,2014,D11,Crimes Against Property,Theft Over $5000,1,1
7,2014,D11,Crimes Against Property,Break & Enter-House,13,6
8,2014,D11,Crimes Against Property,Theft Over $5000,2,1
9,2014,D11,Crimes Against Property,Break & Enter-House,7,2
10,2014,D11,Crimes Against Property,Theft Over $5000,1,0
11,2014,D11,Crimes Against the Person,Robbery-Financial,1,1
12,2014,D11,Crimes Against Property,Break & Enter-House,8,2
13,2014,D12,Crimes Against Property,Break & Enter-Other,4,3
14,2014,D11,Controlled Drugs and Substances Act,Other,14,12
15,2014,D12,Crimes Against Property,Auto Theft,39,6
16,2014,D11,Crimes Against Property,Theft Over $5000,2,0
17,2014,D11,Crimes Against the Person,Robbery-Financial,1,1
18,2014,D11,Crimes Against Property,Break & Enter-House,5,0
19,2014,D12,Crimes Against Property,Fraud,21,5
20,2014,D11,Crimes Against Property,Theft Over $5000,4,1
21,2014,D12,Crimes Against Property,Auto Theft,9,2
22,2014,D11,Controlled Drugs and Substances Act,Other,20,20
23,2014,D11,Crimes Against the Person,Robbery-Financial,1,1
24,2014,D11,Crimes Against Property,Break & Enter-House,7,2
25,2014,D12,Crimes Against Property,Fraud,42,19
26,2014,D11,Crimes Against Property,Theft Under $5000,1,1
27,2014,D12,Crimes Against Property,Auto Theft,20,3
28,2014,D11,Controlled Drugs and Substances Act,Other,20,19
29,2014,D11,Crimes Against the Person,Robbery-Financial,1,1
30,2014,D11,Crimes Against Property,Break & Enter-House,13,5
31,2014,D12,Crimes Against Property,Fraud,6,3
32,2014,D11,Crimes Against Property,Theft Under $5000,372,256
33,2014,D12,Crimes Against Property,Auto Theft,7,1
34,2014,D11,Controlled Drugs and Substances Act,Other,11,11
35,2014,D11,Crimes Against the Person,Robbery-Financial,1,1
36,2014,D11,Crimes Against Property,Break & Enter-House,6,3
37,2014,D11,Crimes Against Property,Theft Under $5000,147,25
38,2014,D12,Crimes Against Property,Auto Theft,27,4
39,2014,D12,Crimes Against the Person,Assault,67,43
40,2014,D12,Crimes Against Property,Fraud,27,6
41,2014,D11,Other Criminal Code Violations,Other,1,1
42,2014,D11,Controlled Drugs and Substances Act,Other,56,55
43,2014,D11,Crimes Against Property,Break & Enter-Other,3,1
44,2014,D11,Crimes Against the Person,Robbery-Financial,1,1
45,2014,D11,Crimes Against Property,Theft Under $5000,166,44
46,2014,D12,Crimes Against Property,Auto Theft,19,5
47,2014,D12,Crimes Against the Person,Assault,17,15
48,2014,D12,Crimes Against Property,Fraud,17,5
49,2014,D11,Controlled Drugs and Substances Act,Other,9,9
50,2014,D11,Other Criminal Code Violations,Other,37,34
51,2014,D11,Crimes Against Property,Break & Enter-Other,4,1
52,2014,D11,Crimes Against the Person,Robbery-Other,10,4
53,2014,D12,Crimes Against the Person,Assault,84,71
54,2014,D11,Crimes Against Property,Theft Under $5000,252,115
